,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@JamesSpiro @Israel @taylorswift13 I have! It was great.,1618,61,2022-11-21 20:38:02+00:00
1,elonmusk,@cb_doge @DanSum519 @stillgray Not many tbh,1038,41,2022-11-21 20:32:56+00:00
2,elonmusk,@Israel @taylorswift13 Your tweets are good! More countries should tweet like this. No fun being all stuffy.,17095,559,2022-11-21 20:28:53+00:00
3,elonmusk,Experience: what you get when you didn’t get what you wanted - Igor,40635,4068,2022-11-21 20:22:43+00:00
4,elonmusk,"@DanSum519 @stillgray Oh they’ll be back on Twitter, if they even actually left. This platform is like pharmaceutical-grade crack to them.",2348,253,2022-11-21 20:10:52+00:00
5,elonmusk,@stillgray I am having a great time 🤣🤣,17701,845,2022-11-21 20:02:17+00:00
6,elonmusk,Fanaticism is always a function of repressed doubt – Dune,53808,4955,2022-11-21 19:22:25+00:00
7,elonmusk,Namaste 🙏,68351,4529,2022-11-21 18:41:22+00:00
8,elonmusk,"@mysteriouskat It’s a reverse, reverse psychology trick",7993,301,2022-11-21 18:38:16+00:00
9,elonmusk,@mysteriouskat 👀,2233,68,2022-11-21 18:37:29+00:00
10,elonmusk,@waitbutwhy Absolutely,2540,84,2022-11-21 18:33:16+00:00
11,elonmusk,"@lenjin2 @catturd2 I like his music tbh, but maybe Etsy is more his style",3603,118,2022-11-21 18:30:41+00:00
12,elonmusk,"Hope all judgy hall monitors stay on other platforms – please, I’m begging u",167660,13446,2022-11-21 18:20:47+00:00
13,elonmusk,@rhemrajani9 Feels so long ago 🤭,4093,153,2022-11-21 18:14:32+00:00
14,elonmusk,@lexfridman It is so entertaining!,14386,526,2022-11-21 18:10:14+00:00
15,elonmusk,Twitter is fun 🚀 💫 ♥️,281883,21506,2022-11-21 17:56:15+00:00
16,elonmusk,@KimDotcom @BillFOXLA @FoxNews Behavior follows the incentives for political power,6388,618,2022-11-21 17:52:59+00:00
17,elonmusk,@lexfridman Good times :),34816,1269,2022-11-21 17:48:00+00:00
18,elonmusk,@LanceUlanoff @Rainmaker1973 Then let us work to make the future better,3100,208,2022-11-21 17:44:49+00:00
19,elonmusk,"@rationalwalk @BillFOXLA @FoxNews We should actively recruit the best &amp; brightest to part of the United States! 

That is what every championship sports team does.",2930,242,2022-11-21 17:43:04+00:00
20,elonmusk,@micsolana So unfair! 🤣,10896,434,2022-11-21 17:31:11+00:00
21,elonmusk,@MrStevenSteele @catturd2 🤣,4683,151,2022-11-21 17:08:11+00:00
22,elonmusk,@catturd2 And it turns out that Trent “nine inch nails” Reznor is actually a crybaby 🤣,61833,3957,2022-11-21 16:58:28+00:00
23,elonmusk,@Rainmaker1973 I can’t think of a worse curse than living forever,31207,2102,2022-11-21 16:40:14+00:00
24,elonmusk,"@BillFOXLA @FoxNews Seems bizarre that it’s so easy enter illegally, but so hard to get a legal work visa",115871,12312,2022-11-21 16:30:05+00:00
25,elonmusk,"@KimDotcom @SamHarrisOrg My firstborn child died in my arms. I felt his last heartbeat. 

I have no mercy for anyone who would use the deaths of children for gain, politics or fame.",105470,10331,2022-11-21 04:44:17+00:00
26,elonmusk,"@teslaownersSV @EvaFoxU Oh man, that’s a long story, but if we haven’t cut response time in half by end of year, I will hang my head in shame",13975,739,2022-11-21 04:34:48+00:00
27,elonmusk,@BLKMDL3 @EvaFoxU Latter,3694,159,2022-11-21 04:32:33+00:00
28,elonmusk,"@teslaownersSV @EvaFoxU Yes, major focus on video overall",8573,434,2022-11-21 04:32:12+00:00
29,elonmusk,@EvaFoxU Priority #1,221620,15545,2022-11-21 04:29:47+00:00
30,elonmusk,"@SamHarrisOrg Suffer little children, and forbid them not, to come unto me: for of such is the kingdom of heaven",112845,7002,2022-11-21 03:12:01+00:00
31,elonmusk,@EvaFoxU Falcon is powered by 9 merkins!,18234,789,2022-11-21 02:37:00+00:00
32,elonmusk,Our love will never die https://t.co/y5SldfAAt0,431864,33165,2022-11-21 01:55:54+00:00
33,elonmusk,And lead us not into temptation … https://t.co/8qNOXzwXS9,945318,83094,2022-11-21 01:19:15+00:00
34,elonmusk,@EvaFoxU So tempting …,7129,261,2022-11-21 00:38:35+00:00
35,elonmusk,@HappyJesse Yes,10398,232,2022-11-20 23:36:02+00:00
36,elonmusk,"@kanyewest Don’t kill what ye hate
Save what ye love",268946,15303,2022-11-20 23:08:35+00:00
37,elonmusk,@teslaownersSV @kcoleman Making good progress. Still tracking to wide release next month.,5469,357,2022-11-20 22:30:51+00:00
38,elonmusk,"World Cup Qatar 2022: Opening Ceremony
https://t.co/TjSSitY7fK",119856,12886,2022-11-20 22:21:31+00:00
39,elonmusk,"@TimRunsHisMouth So you say “mainstream media” is biased? 

Hmm, will have to fact-check that with mainstream media.

Nope, they say everything is cool!",153355,13212,2022-11-20 21:55:25+00:00
40,elonmusk,"@RaheemKassam They just can’t stop writing about Twitter, which is driving usage through roof lmao",52364,4540,2022-11-20 21:51:23+00:00
41,elonmusk,@catturd2 One thing is for sure: it’s not boring https://t.co/47uPkl88gZ,99983,6072,2022-11-20 21:49:04+00:00
42,elonmusk,@kcoleman Exactly,18034,832,2022-11-20 21:45:54+00:00
43,elonmusk,@stillgray @mtaibbi “All the news that’s fit to print” my ass,23285,2793,2022-11-20 21:09:46+00:00
44,elonmusk,@CBSNewsPress 🤭,247712,11586,2022-11-20 20:18:43+00:00
45,elonmusk,@Starbie888 @NateSilver538 [Cue Spider-Man meme],3507,153,2022-11-20 20:13:05+00:00
46,elonmusk,@Starbie888 @NateSilver538 What could be more fun than a social network consisting entirely of hall monitors!?,6757,510,2022-11-20 20:12:22+00:00
47,elonmusk,@NateSilver538 🤣🤣💯🎯,23165,1055,2022-11-20 18:36:52+00:00
48,elonmusk,@mtaibbi It is tragic how far The New York Times has fallen – basically just boring af far left brainwashing at this point. The boring part is truly unforgivable!,81997,12843,2022-11-20 14:44:38+00:00
49,elonmusk,World Cup starts soon! Follow on Twitter for best coverage by far.,520601,32334,2022-11-20 14:40:09+00:00
50,elonmusk,@WholeMarsBlog 🤣,34618,1097,2022-11-20 14:36:49+00:00
51,elonmusk,@TomFitton Sure as night follows day …,54760,4471,2022-11-20 14:33:09+00:00
52,elonmusk,@JGreenblattADL @ADL Hey stop defaming me!,350099,18204,2022-11-20 05:14:30+00:00
53,elonmusk,@naiivememe 🔥🔥,36168,1629,2022-11-20 04:57:42+00:00
